메뉴,중량(g),중량(ml),열량(kcal),당(g),단백질(g),포화지방(g),나트륨(mg),카페인(mg)
더블 1955 버거,341,-,807,15,48,18,1115,-
더블 맥스파이시 상하이 버거,340,-,759,10,38,4.6,1775,-
맥스파이시 상하이 투움바,253,-,489,10,23,6,1169,-
더블 쿼터파운더 치즈,275,-,770,10,50,20,1151,-
맥스파이시 상하이 버거,246,-,501,9,24,3,1102,-
쿼터파운더 치즈,198,-,536,10,31,13,966,-
토마토 치즈 비프버거,200,-,403,11,18,7,682,-
빅맥,223,-,582,8,27,11,902,-
맥크리스피 디럭스 버거,276,-,614,15,23,4.7,1344,-
맥크리스피 클래식 버거,210,-,603,14,23,4.7,1332,-
1955 버거,264,-,572,15,29,10,930,-
맥치킨 모짜렐라,293,-,743,18,31,7,1742,-
맥치킨,206,-,523,7,21,3,1084,-
더블 불고기 버거,237,-,635,15,26,13,997,-
불고기 버거,167,-,409,14,14,6,670,-
슈슈버거,224,-,409,13,12,1.7,808,-
슈비버거,269,-,540,15,20,5,1001,-
베이컨 토마토 디럭스,247,-,570,14,29,11,933,-
치즈버거,115,-,318,7,16,6,612,-
더블 치즈버거,167,-,479,8,27,12,896,-
트리플 치즈버거,216,-,640,8,38,17,1151,-
햄버거,101,-,266,7,13,3.5,450,-
