카테고리,메뉴,가격,칼로리(Kcal),단백질,지방,나트륨,당류
버거 & 세트,더블 1955 버거,10300,807,48,18,1115,15
버거 & 세트,더블 맥스파이시 상하이 버거,9700,759,38,4.6,1775,10
버거 & 세트,맥스파이시 상하이 투움바 버거,8100,489,23,6,1169,10
버거 & 세트,더블 쿼터파운더 치즈,8200,770,50,20,1151,10
버거 & 세트,쿼터파운더 치즈,6300,536,31,13,966,10
버거 & 세트,맥스파이시 상하이 버거,6300,501,24,3,1102,9
버거 & 세트,토마토 치즈 비프 버거,4600,403,18,7,682,11
버거 & 세트,맥크리스피 디럭스 버거,7600,614,15,4.7,1344,15
버거 & 세트,맥크리스피 클래식 버거,6700,603,14,4.7,1332,14
버거 & 세트,빅맥,6300,582,27,11,902,8
버거 & 세트,트리플 치즈버거,6700,640,38,17,1151,8
버거 & 세트,1955 버거,7200,572,29,12,953,13
버거 & 세트,맥치킨 모짜렐라,5800,743,31,7,1742,18
버거 & 세트,맥치킨,4300,523,21,3,1084,7
버거 & 세트,더블 불고기 버거,5300,635,26,13,997,15
버거 & 세트,불고기 버거,4400,409,14,6,670,14
버거 & 세트,슈슈 버거,5500,409,12,1.7,808,13
버거 & 세트,슈비 버거,6600,540,20,5,1001,15
버거 & 세트,베이컨 토마토 디럭스,6600,570,29,11,933,14
버거 & 세트,치즈버거,3800,318,16,6,612,7
버거 & 세트,더블 치즈버거,5600,479,27,12,896,8
버거 & 세트,햄버거,3400,266,13,3.5,450,7
스낵 & 사이드,고구마 후라이,3300,295,2,2.3,130,16
스낵 & 사이드,한입 초코 츄러스 3조각,3200,253,3,3.2,204,8
스낵 & 사이드,상하이 치킨 스낵랩,4300,303,12,3.7,812,3
스낵 & 사이드,코울슬로,2700,179,1,1,307,18
스낵 & 사이드,골든 모짜렐라 치즈스틱 4조각,5300,330,16,8.4,577,2
스낵 & 사이드,골든 모짜렐라 치즈스틱 2조각,3600,165,8,4.2,288,1
스낵 & 사이드,맥너겟 6조각,4700,244,15,2,553,0
스낵 & 사이드,맥너겟 4조각,3400,163,10,1.1,369,0
스낵 & 사이드,맥스파이시 치킨텐더 2조각,3500,197,15,0.9,744,0
스낵 & 사이드,후렌치 후라이,3300,324,5,1,282,0
음료,망고 피치 아이스티,4100,216,0,0,23,46
음료,피치 아이스티,3600,162,0,0,8,34
음료,코카 콜라,2600,133,0,0,13,33
음료,코카 콜라 제로,2600,0,0,0,29,0
음료,스프라이트,2600,140,0,0,21,35
음료,환타,2600,62,0,0,7,16
음료,바닐라 라떼,4500,227,8,5,79,28
음료,카페라떼,4000,149,8,5,79,9
음료,카푸치노,4000,93,5,2.9,49,6
음료,아메리카노,3300,12,1,0,0,0
음료,드립 커피,2900,10,1,0,0,0
음료,아이스 바닐라 라떼,4500,186,6,3.2,50,25
음료,아이스 카페라떼,4000,108,5,3.2,50,7
음료,아이스 아메리카노,3300,9,0,1,0,0
음료,아이스 드립 커피,2900,10,1,0,0,0
음료,디카페인 카페라떼,4200,150,7,4.4,85,10
음료,디카페인 카푸치노,4200,89,5,2.5,49,6
음료,디카페인 아메리카노,3500,12,0,1,0,0
음료,디카페인 아이스 카페라떼,4200,114,6,3.2,54,7
음료,디카페인 아이스 아메리카노,3500,8,1,0,0,0
음료,바닐라 쉐이크,3500,366,9,5,206,55
음료,딸기 쉐이크,3500,367,9,5,180,56
음료,초코 쉐이크,3500,375,9,5,235,55
음료,생수,2000,0,0,0,0,0
디저트,한입 초코 츄러스 3조각,3200,253,3,3.2,204,8
디저트,오레오 맥플러리,4300,332,6,5.3,179,36
디저트,베리 스트로베리 맥플러리,4300,325,5,5.4,229,38
맥모닝 & 세트,투움바 치킨 치즈 머핀,5600,504,25,7,1285,4
맥모닝 & 세트,베이컨 에그 맥그리들,5200,400,17,7.9,1032,14
맥모닝 & 세트,소시지 에그 맥그리들,5500,505,22,11.1,1181,14
맥모닝 & 세트,소시지 에그 맥머핀,4800,432,22,10,857,3
맥모닝 & 세트,치킨 치즈 머핀,4700,506,25,5,1213,3
맥모닝 & 세트,베이컨 에그 맥머핀,4400,327,19,5.9,687,3
맥모닝 & 세트,에그 맥머핀,3800,303,18,5,677,3
맥모닝 & 세트,베이컨 토마토 에그 머핀,4800,338,16,3.5,631,5
맥모닝 & 세트,핫케익 2조각,3600,223,6,1.1,343,8
맥모닝 & 세트,핫케익 3조각,4100,335,9,1.7,514,12
맥모닝 & 세트,디럭스 브렉퍼스트,6000,766,27,10,1382,11
